mode,mask,coalition,on_M1,on_M2,on_M3,on_M4,on_E1,on_E3,ranking,gate,f1_yes,confidence_score,variable_weight_score,important_decisive_factor_score,tool_score,section_grounding_score
deployed,41,M1+M4+E3,1,0,0,1,0,1,0.8275843978587192,0.9010989010989011,0.9243697478991597,0.7317073170731707,0.8511291779584463,0.7698432326481107,0.866869918699187,0.8432055749128919
deployed,42,M2+M4+E3,0,1,0,1,0,1,0.8275843978587192,0.9010989010989011,0.9243697478991597,0.7317073170731707,0.8511291779584463,0.7698432326481107,0.866869918699187,0.8432055749128919
deployed,43,M1+M2+M4+E3,1,1,0,1,0,1,0.8275843978587192,0.9010989010989011,0.9243697478991597,0.7317073170731707,0.8511291779584463,0.7698432326481107,0.866869918699187,0.8432055749128919
deployed,44,M3+M4+E3,0,0,1,1,0,1,0.837793291539976,0.9120879120879121,0.9310344827586207,0.7530120481927711,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
deployed,45,M1+M3+M4+E3,1,0,1,1,0,1,0.837793291539976,0.9120879120879121,0.9310344827586207,0.7530120481927711,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
deployed,46,M2+M3+M4+E3,0,1,1,1,0,1,0.837793291539976,0.9120879120879121,0.9310344827586207,0.7530120481927711,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
deployed,47,M1+M2+M3+M4+E3,1,1,1,1,0,1,0.837793291539976,0.9120879120879121,0.9310344827586207,0.7530120481927711,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
deployed,48,E1+E3,0,0,0,0,1,1,0.8356943679539833,0.9120879120879121,0.9333333333333333,0.7349397590361446,0.849442213297635,0.7670354411318268,0.856425702811245,0.8430866322432589
deployed,49,M1+E1+E3,1,0,0,0,1,1,0.8356943679539833,0.9120879120879121,0.9333333333333333,0.7349397590361446,0.849442213297635,0.7670354411318268,0.856425702811245,0.8430866322432589
deployed,50,M2+E1+E3,0,1,0,0,1,1,0.8350762360858515,0.9120879120879121,0.9333333333333333,0.7289156626506024,0.849442213297635,0.7670354411318268,0.856425702811245,0.8430866322432589
deployed,51,M1+M2+E1+E3,1,1,0,0,1,1,0.8350762360858515,0.9120879120879121,0.9333333333333333,0.7289156626506024,0.849442213297635,0.7670354411318268,0.856425702811245,0.8430866322432589
deployed,52,M3+E1+E3,0,0,1,0,1,1,0.8397928577410325,0.9120879120879121,0.9322033898305084,0.7710843373493976,0.8498438197233378,0.7680394571960837,0.8684738955823292,0.8430866322432589
deployed,53,M1+M3+E1+E3,1,0,1,0,1,1,0.8397928577410325,0.9120879120879121,0.9322033898305084,0.7710843373493976,0.8498438197233378,0.7680394571960837,0.8684738955823292,0.8430866322432589
deployed,54,M2+M3+E1+E3,0,1,1,0,1,1,0.8391747258729005,0.9120879120879121,0.9322033898305084,0.7650602409638554,0.8498438197233378,0.7680394571960837,0.8684738955823292,0.8430866322432589
deployed,55,M1+M2+M3+E1+E3,1,1,1,0,1,1,0.8391747258729005,0.9120879120879121,0.9322033898305084,0.7650602409638554,0.8498438197233378,0.7680394571960837,0.8684738955823292,0.8430866322432589
deployed,56,M4+E1+E3,0,0,0,1,1,1,0.8361868110099857,0.9120879120879121,0.9322033898305084,0.7409638554216867,0.8502454261490406,0.7712775176630597,0.856425702811245,0.8430866322432589
deployed,57,M1+M4+E1+E3,1,0,0,1,1,1,0.8361868110099857,0.9120879120879121,0.9322033898305084,0.7409638554216867,0.8502454261490406,0.7712775176630597,0.856425702811245,0.8430866322432589
deployed,58,M2+M4+E1+E3,0,1,0,1,1,1,0.8355686791418538,0.9120879120879121,0.9322033898305084,0.7349397590361446,0.8502454261490406,0.7712775176630597,0.856425702811245,0.8430866322432589
deployed,59,M1+M2+M4+E1+E3,1,1,0,1,1,1,0.8355686791418538,0.9120879120879121,0.9322033898305084,0.7349397590361446,0.8502454261490406,0.7712775176630597,0.856425702811245,0.8430866322432589
deployed,60,M3+M4+E1+E3,0,0,1,1,1,1,0.8396476871443714,0.9120879120879121,0.9310344827586207,0.7710843373493976,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
deployed,61,M1+M3+M4+E1+E3,1,0,1,1,1,1,0.8396476871443714,0.9120879120879121,0.9310344827586207,0.7710843373493976,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
deployed,62,M2+M3+M4+E1+E3,0,1,1,1,1,1,0.8390295552762397,0.9120879120879121,0.9310344827586207,0.7650602409638554,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
deployed,63,M1+M2+M3+M4+E1+E3,1,1,1,1,1,1,0.8390295552762397,0.9120879120879121,0.9310344827586207,0.7650602409638554,0.8506470325747434,0.7722815337273169,0.8684738955823292,0.8430866322432589
